case_id,case_code,case_name,case_type,confidence_level,vendor_id,vendor_name,sector,year_window,year_start,year_end,has_institution_filter,total_contracts,in_window_contracts,out_window_contracts,noise_pct,total_value_mxn,in_window_value_mxn,out_window_value_mxn
100,CONSORCIO_LAMAT_TRENMAYA_2023,"Consorcio Lamat Tramo 1 SAPI — Tren Maya 3.38B (FONATUR 2.922B ""trabajos extraordinarios"" + 456M sole-source, 100%DA)",overpricing,high,293248,CONSORCIO LAMAT TRAMO 1 S A P I DE CV,Infraestructura,2023-2024,2023,2024,no,2,2,0,0.0,3377122066.21,3377122066.21,0.0
101,TOTAL_FARMA_IMSS_DA_RING_2014,"Total Farma SA de CV — IMSS 7.23B Pharmaceutical DA Ring (86.1%DA, 3685 contracts, 2014-2022)",procurement_fraud,high,124647,TOTAL FARMA SA DE CV,Salud,2014-2022,2014,2022,no,3666,3666,0,0.0,7229305064.41,7229305064.41,0.0
109,ASOKAM_IMSS_PHARMA_DA_RING,"Asokam SA de CV — IMSS 1.96B Pharmaceutical DA Ring (83%DA, 928 contracts, model blind spot)",procurement_fraud,high,30829,ASOKAM S.A. DE C.V.,Salud,2007-2025,2007,2025,no,1067,1067,0,0.0,2993603795.44,2993603795.44,0.0
111,ADACA_MEDICAL_INSABI_618M_DA_2022,Adaca Medical SA de CV — INSABI Single 618M Direct Award for Medical Supplies (2022),procurement_fraud,high,279307,ADACA MEDICAL SA DE CV,Salud,2022-2025,2022,2025,no,8,8,0,0.0,648547501.96,648547501.96,0.0
112,CARREY_CFE_568M_DA_2014,Carrey SA de CV — CFE Single 568M Direct Award with No Description (2014),procurement_fraud,medium,124451,"CARREY, S.A. DE C.V.",Energia,2014-2014,2014,2014,no,1,1,0,0.0,567518900.0,567518900.0,0.0
113,PROCESAR_ISSSTE_DA_RING_2010,"Procesar SA de CV — ISSSTE/FONACOT 848M DA Ring (100%DA, 25 contracts, 2010-2025)",procurement_fraud,medium,63937,PROCESAR SA DE CV,Salud,2010-2025,2010,2025,no,25,25,0,0.0,847778522.24,847778522.24,0.0
114,GRANOS_OMEGA_DICONSA_FOOD_DA_2012,"Granos y Servicios Omega SA de CV — DICONSA 858M Food Program 100%DA (31 contracts, 2012-2016)",procurement_fraud,medium,80024,GRANOS Y SERVICIOS OMEGA S.A. DE C.V.,Agricultura,2012-2016,2012,2016,no,31,31,0,0.0,858404004.84,858404004.84,0.0
115,INAGRO_DICONSA_FOOD_DA_2012,"Corporativo Inagro Comercial SA de CV — DICONSA 790M Food Program 100%DA (17 contracts, 2012-2016)",procurement_fraud,medium,73979,CORPORATIVO INAGRO COMERCIAL S.A DE C.V.,Agricultura,2012-2016,2012,2016,no,17,17,0,0.0,789832353.0,789832353.0,0.0
116,BRAND_PUSH_ALIMENTACION_BIENESTAR_DA_RING,Brand and Push SA de CV — Alimentación para el Bienestar 753M 100%DA (1874 contracts — extreme model blind spot),procurement_fraud,medium,292227,BRAND AND PUSH SA DE CV,Agricultura,2023-2025,2023,2025,no,1874,1874,0,0.0,753063581.88,753063581.88,0.0
118,TELEVISA_GOVT_ADVERTISING_DA,Televisa SA de CV — 7.33B Government TV Advertising at 99.8%DA (2010-2025),monopoly,medium,46629,Televisa,Hacienda,2010-2025,2010,2025,no,413,413,0,0.0,7282478548.07,7282478548.07,0.0
124,WALA_SERVICIOS_IMSS_DA_2024,Wala Servicios Mexico SA de CV — IMSS 92%DA + Guardia Nacional Backpacks + CENISIDA 100%DA (2024-2025),procurement_fraud,medium,305455,WALA SERVICIOS MEXICO SA DE CV,Salud,2024-2025,2024,2025,no,58,58,0,0.0,1020915952.8,1020915952.8,0.0
125,MOLINOS_AZTECA_DICONSA_DA_RING,Molinos Azteca DICONSA Food Program 100%DA Ring Leader,procurement_fraud,medium,132864,MOLINOS AZTECA  SA DE CV,Agricultura,2014-2025,2014,2025,no,10685,10685,0,0.0,7900593838.63,7900593838.63,0.0
127,MARCAS_NESTLE_DICONSA_DA_RING,Marcas Nestle DICONSA 99%DA Food Supply Capture,procurement_fraud,low,19493,MARCAS NESTLE S.A. DE C.V.,Agricultura,2005-2022,2005,2022,no,10477,10477,0,0.0,5139425506.66,5139425506.66,0.0
128,CREATIVIDAD_INTEGRACION_IMSS_HEMODIALISIS_DA,Creatividad e Integracion en Servicios Medicos IMSS Hemodialysis Capture,monopoly,medium,259061,CREATIVIDAD E INTEGRACION EN SERVICIOS MEDICOS SA DE CV,Salud,2020-2025,2020,2025,no,36,36,0,0.0,6698860669.24,6698860669.24,0.0
129,IMPROMED_IMSS_ISSSTE_LAB_DA,Impromed IMSS-ISSSTE Laboratory Services 78%DA Capture,procurement_fraud,medium,44125,Impromed,Salud,2005-2025,2005,2025,no,240,240,0,0.0,15267767973.58,15267767973.58,0.0
130,CENTRO_DIAGNOSTICO_ANGELES_IMSS_DA,Centro de Diagnostico Angeles IMSS Private Diagnostics 63%DA,monopoly,medium,40862,"CENTRO DE DIAGNOSTICO ANGELES, S.A. DE C.V.",Salud,2009-2025,2009,2025,no,141,141,0,0.0,10800564822.64,10800564822.64,0.0
131,AEROMEXICO_GOVT_TRAVEL_96PCT_DA,Aerovias de Mexico (Aeromexico) Government Travel 96%DA Monopoly,monopoly,low,45460,AEROVIAS DE MEXICO,Infraestructura,2010-2025,2010,2025,no,297,297,0,0.0,5862252971.92,5862252971.92,0.0
